benchmark,time,ext
namd,25.133523,re-randomized
namd,25.046711,re-randomized
namd,25.14245,re-randomized
namd,25.109288,re-randomized
namd,25.082911,re-randomized
namd,25.07524,re-randomized
namd,25.118301,re-randomized
namd,25.064212,re-randomized
namd,25.053867,re-randomized
namd,25.096708,re-randomized
namd,25.145476,re-randomized
namd,25.107176,re-randomized
namd,25.098488,re-randomized
namd,25.057767,re-randomized
perlbench,84.831178,re-randomized
perlbench,87.910363,re-randomized
perlbench,85.291655,re-randomized
perlbench,85.266451,re-randomized
perlbench,85.122752,re-randomized
perlbench,85.125977,re-randomized
perlbench,84.785222,re-randomized
perlbench,85.055808,re-randomized
perlbench,85.595513,re-randomized
perlbench,85.453677,re-randomized
perlbench,84.795797,re-randomized
perlbench,84.951592,re-randomized
perlbench,85.188917,re-randomized
perlbench,85.305224,re-randomized
perlbench,84.92845,re-randomized
perlbench,84.854721,re-randomized
perlbench,84.799472,re-randomized
perlbench,84.743422,re-randomized
perlbench,85.285566,re-randomized
perlbench,84.879919,re-randomized
perlbench,84.952881,re-randomized
perlbench,85.250925,re-randomized
perlbench,85.377429,re-randomized
perlbench,84.747834,re-randomized
perlbench,84.970081,re-randomized
perlbench,85.197808,re-randomized
perlbench,85.229772,re-randomized
perlbench,85.147769,re-randomized
perlbench,85.395559,re-randomized
perlbench,85.313095,re-randomized
sjeng,360.011361,re-randomized
sjeng,359.947159,re-randomized
sjeng,360.281047,re-randomized
sjeng,360.439206,re-randomized
sjeng,359.619304,re-randomized
sjeng,360.183635,re-randomized
sjeng,359.565171,re-randomized
sjeng,358.927634,re-randomized
sjeng,360.929485,re-randomized
sjeng,360.359048,re-randomized
sjeng,359.555027,re-randomized
sjeng,359.477741,re-randomized
sjeng,359.600574,re-randomized
sjeng,358.926573,re-randomized
sjeng,358.906927,re-randomized
sjeng,360.170003,re-randomized
sjeng,358.89202,re-randomized
sjeng,358.602125,re-randomized
sjeng,359.34237,re-randomized
